"","x"
"1",0.2
"2",0.6
"3",0.5
"4",0.9
"5",0.5
"6",0.56
"7",0.1
"8",0.8
"9",0.7
"10",0.6
"11",0.5
"12",0.5
"13",0.8
"14",0.5
"15",0.5
"16",0.45
"17",0.5
"18",0.5
"19",0.5
"20",1
"21",0.6
"22",0.57
"23",0.7
"24",0.4
"25",0.5
"26",0.6
"27",0.7
"28",0.8
"29",0.7
"30",0.5
"31",0.5
"32",0.5
"33",0.2
"34",0.5
"35",0.65
"36",0.8
"37",1
"38",0.85
"39",0.6
"40",0.5
"41",0.5
"42",0.4
"43",0.5
"44",0.8
"45",0.5
"46",0.6
"47",0.5
"48",0.5
"49",0.7
"50",1
"51",0.5
"52",0.55
"53",0.6
"54",0.5
"55",0.35
"56",0.5
"57",0.46
"58",0.75
"59",0.5
"60",0.5
"61",0.7
"62",0.5
"63",0.5
"64",0.7
"65",0.66
"66",0.7
"67",0.5
"68",0.5
"69",0.5
"70",0.45
"71",0.6
"72",0.7
"73",0.8
"74",0.5
"75",0.6
"76",0.8
"77",0.5
"78",0.6
"79",0.7
"80",0.9
"81",0.5
"82",0.6
"83",0.3
"84",0.6
"85",0.5
"86",0.5
"87",0.5
"88",0.6
"89",0.8
"90",0.5
"91",0.6
"92",0.55
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.6
"99",0.5
"100",0.5
"101",0.5
"102",0.5
"103",0.5
"104",0.5
"105",0.7
"106",0.5
"107",1
"108",0.5
"109",0.5
"110",1
"111",0.6
"112",0.5
"113",0.5
"114",1
"115",0.65
"116",0.5
"117",0.8
"118",0.45
"119",0.8
"120",0.5
"121",0.8
"122",0.3
"123",0.5
"124",0.5
"125",0.6
"126",0.5
"127",0.5
"128",0.7
"129",0.7
"130",0.5
"131",0.5
"132",0.5
"133",0.5
"134",0.5
"135",0.5
"136",0.5
"137",0.5
"138",0.5
"139",0.6
"140",0.6
"141",0.5
"142",0.4
"143",0.6
"144",0
"145",0.2
"146",0.7
"147",0.75
"148",0.5
"149",0.6
"150",0.5
"151",0.4
"152",0.5
"153",0.5
"154",0.5
"155",0.5
"156",0.55
"157",0.5
"158",0.5
"159",0.65
"160",0.7
"161",0.4
"162",0.5
"163",0.6
"164",0.5
"165",0.48
"166",0.5
"167",1
"168",0.5
"169",0.5
"170",0.5
"171",0.7
"172",0.65
"173",0.1
"174",0.5
"175",0.5
"176",0.78
"177",0.5
"178",0.8
"179",1
"180",0.5
"181",0.5
"182",0.5
"183",0.8
"184",0.6
"185",0.5
"186",0.8
"187",0.5
"188",0.4
"189",0.6
"190",0.5
"191",0.5
"192",0.5
"193",0.5
"194",0.6
"195",0.8
"196",0.16
"197",0.6
"198",0.5
"199",0.8
"200",0.5
"201",0.8
"202",0.9
"203",0.5
"204",0.5
"205",0.6
"206",0.7
"207",0.5
"208",0.5
"209",0.7
"210",0.5
"211",0.5
"212",0.8
"213",0.6
"214",0.32
"215",0.1
"216",0.4
"217",0.5
"218",0.8
"219",0.8
"220",0.6
"221",0.7
"222",0.6
"223",0.5
"224",0.5
"225",0.4
"226",0.5
"227",0.3
"228",0.8
"229",0.96
"230",0.5
"231",0.46
"232",0.5
"233",0.1
"234",0.6
"235",0.5
"236",0.5
"237",0.7
"238",0.5
"239",0.5
"240",0.55
"241",0.6
"242",0.5
"243",0.5
"244",0.5
"245",0.8
"246",1
"247",0.5
"248",0.5
"249",0.6
"250",0.5
"251",0.5
"252",0.5
"253",0.5
"254",0.5
"255",0.5
"256",0.7
"257",0.5
"258",0.7
"259",0.5
"260",0.7
"261",0.8
"262",1
"263",0.5
"264",0.5
"265",0.8
"266",0.7
"267",0.5
"268",0.5
"269",0.5
"270",0.7
"271",0.5
"272",0.85
"273",0.8
"274",0.65
"275",0.7
"276",0.4
"277",0.5
"278",0.5
"279",0.5
"280",0.6
"281",1
"282",0.6
"283",1.5
"284",0.6
"285",0.5
"286",0.75
"287",0.5
"288",0.54
"289",0.5
"290",0.35
"291",0.7
"292",0.6
"293",0.7
"294",0.75
"295",0.8
"296",0.5
"297",1
"298",0.7
"299",0.5
"300",0.6
"301",0.5
"302",0.5
"303",0.6
"304",0.5
"305",0.5
"306",0.5
"307",0.7
"308",0.5
"309",0.6
"310",0.5
"311",0.9
"312",0.5
"313",0.5
"314",0.56
"315",0.55
"316",0.6
"317",1
"318",0.4
"319",0.5
"320",0.8
"321",0.6
"322",0.35
"323",0.5
"324",0.5
"325",0.6
