"","x"
"1",0.5
"2",0.5
"3",0.49
"4",0
"5",0.5
"6",0.5
"7",0.5
"8",0.5
"9",0.4
"10",0.4
"11",0.24
"12",0.6
"13",0.25
"14",0.4
"15",0.5
"16",1
"17",0.5
"18",0.6
"19",0.65
"20",0.5
"21",0.1
"22",0.6
"23",0.3
"24",0.19
"25",0.5
"26",0.5
"27",0.5
"28",0.5
"29",0.5
"30",0.55
"31",0.5
"32",0.5
"33",0.5
"34",0.4
"35",0.78
"36",0.5
"37",0.4
"38",0.5
"39",0.5
"40",0.03
"41",0.6
"42",0.8
"43",0.5
"44",0.8
"45",0.35
"46",0.4
"47",0.5
"48",0.35
"49",0.25
"50",0.4
"51",0.5
"52",0.5
"53",0.6
"54",0.5
"55",0.6
"56",0.5
"57",0.6
"58",0.5
"59",0.8
"60",0.5
"61",0.2
"62",0.8
"63",0.5
"64",0.4
"65",0.5
"66",0
"67",0.6
"68",0.5
"69",0.35
"70",0.75
"71",0.6
"72",0.5
"73",0.76
"74",0.5
"75",0.55
"76",0.48
"77",0.4
"78",0.5
"79",0.5
"80",0.55
"81",0.8
"82",0.7
"83",0.9
"84",0.5
"85",0.8
"86",0.5
"87",0.5
"88",0.5
"89",0.5
"90",0.2
"91",0.4
"92",0.5
"93",0.5
"94",0.5
"95",0.6
"96",0.5
"97",0.6
"98",0.5
"99",0.5
"100",0.5
"101",0.5
"102",0.5
"103",0.5
"104",0.55
"105",0.5
"106",0.5
"107",0.5
"108",0.55
"109",0.5
"110",0.38
"111",0.4
"112",0.5
"113",0.5
"114",0.5
"115",0.2
"116",0.3
"117",0.5
"118",0.4
"119",0.5
"120",0.5
"121",0.2
"122",0.5
"123",0.5
"124",0.5
"125",0.45
"126",0.5
"127",0.5
"128",0.5
"129",0.5
"130",0.5
"131",0.5
"132",0.4
"133",0.6
"134",0.5
"135",0.5
"136",0.4
"137",0.5
"138",0.5
"139",0.5
"140",0.5
"141",0.1
"142",0.4
"143",0.5
"144",0.75
"145",0.5
"146",0.5
"147",0.5
"148",0.4
"149",0.5
"150",0.23
"151",0.5
"152",0.5
"153",0.5
"154",0.5
"155",0.7
"156",0.5
"157",0.5
"158",0.55
"159",0.5
"160",0.5
"161",0.5
"162",0.5
"163",0.5
"164",0.5
"165",0.5
"166",0.25
"167",0.5
"168",0.5
"169",0.5
"170",0.5
"171",0.5
"172",0.5
"173",0.5
"174",0.5
"175",0.5
"176",0.5
"177",0.6
"178",0.5
"179",0.3
"180",0.5
"181",0.8
"182",0.5
"183",0.5
"184",0.5
"185",0.6
"186",0.8
"187",0.5
"188",0.5
"189",0
"190",0.4
"191",0.4
"192",0.5
"193",0.7
"194",0.65
"195",0.5
"196",0.4
"197",0.5
"198",0.5
"199",0.4
"200",0.6
"201",0.5
"202",0.8
"203",0.5
"204",0.7
"205",0.5
"206",0.7
"207",0.5
"208",0.5
"209",0.5
"210",0.5
"211",0.5
"212",0.5
"213",0.5
"214",0.5
"215",0.5
"216",0.5
"217",0.6
"218",0.5
"219",0
"220",0.45
"221",0.5
"222",0.5
"223",0.5
"224",0.5
"225",0.8
"226",0.5
"227",0.5
"228",0.5
"229",0.5
"230",0.5
"231",0.5
"232",0.5
"233",0.26
"234",0
"235",0.7
"236",0.1
"237",0.6
"238",0.3
"239",0.5
"240",0.5
"241",0.5
"242",0.75
"243",0.5
"244",0.5
